feature,family,importance_mean,importance_std,importance_low,importance_high,positive_fraction,positive_season_fraction,rank
block_recent_form_edge,block,0.00018991813311227586,0.0017184941468661576,-0.0031695879223781224,0.0035535102144212596,0.55,0.6666666666666666,41
two_point_net_weakness_vs_strength,two_point,0.00017599856519584696,0.0010421828310551184,-0.0014118829537205224,0.0019429368638826643,0.575,0.5,42
turnover_net_strength_vs_strength,turnover,0.00017088016682752135,0.0006617467560081117,-0.0010856331385458717,0.0013018233161585316,0.5583333333333333,0.5,43
ball_security_edge,engineered_composites,0.00016885877439777133,0.0023338982318235313,-0.004652960427973604,0.004163408924825206,0.5333333333333333,0.5,44
assist_recent_form_edge,assist,0.00016754863428645645,0.002137632326253744,-0.003672616270651455,0.004571435765134795,0.48333333333333334,0.5,45
three_point_rate_raw_expected_diff,three_point_rate,0.00016710619225676163,0.0006361798853278442,-0.0009122980088268728,0.0014685782886110384,0.6,0.6666666666666666,46
nonsteal_turnover_net_matchup_edge,nonsteal_turnover,0.00012113353916255361,0.0022248297241229237,-0.004319724430923838,0.0037759369914757385,0.525,0.6666666666666666,47
turnover_net_weakness_vs_strength,turnover,0.00010462790002778814,0.0017961736997725213,-0.0029750049889996216,0.003512367904328411,0.5416666666666666,0.5,48
two_point_net_matchup_edge,two_point,6.865646594471086e-05,0.0004366425559230084,-0.0006945341341436124,0.0009451979209908974,0.5166666666666667,0.6666666666666666,49
three_point_net_strength_vs_weakness,three_point,5.6554875268875296e-05,0.0009591037642219478,-0.0013729023555436788,0.0019318893127354482,0.49166666666666664,0.5,50
assist_net_strength_vs_weakness,assist,4.721222342359832e-05,0.0003474264744039264,-0.0005981812713441809,0.0007392152391273276,0.5166666666666667,0.3333333333333333,51
steal_net_strength_vs_weakness,steal,3.68774829367378e-05,0.00144028987836789,-0.0027307408871225457,0.0025908429001427922,0.5083333333333333,0.5,52
turnover_net_matchup_edge,turnover,3.658800166295255e-05,0.000576165059768007,-0.0011902474019567621,0.0010597330949360514,0.49166666666666664,0.5,53
possession_creation_edge,engineered_composites,7.001662492957713e-06,0.0018991647183447743,-0.003524572995475983,0.0031380151656025196,0.5,0.5,54
block_net_weakness_vs_strength,block,4.461906071965652e-06,4.096491930153537e-05,-7.390699340320272e-05,8.003436148674435e-05,0.5416666666666666,0.3333333333333333,55
free_throw_pct_net_weakness_vs_strength,free_throw_pct,1.481541626131381e-06,0.00011161138534528273,-0.00020336560657562008,0.00021101096400572833,0.55,0.5,56
efg_raw_matchup_edge,efg,1.882737642067145e-07,4.7847667517816735e-05,-8.12732901184332e-05,9.658546080394957e-05,0.5,0.5,57
nonsteal_turnover_raw_matchup_edge,nonsteal_turnover,-2.2766976772531367e-06,5.542003550134191e-05,-9.197649024201837e-05,0.00010097325572281098,0.5,0.6666666666666666,58
block_raw_matchup_edge,block,-1.4248374637121364e-05,0.0011568423459725953,-0.0024881673776116246,0.0021139863769467277,0.5333333333333333,0.6666666666666666,59
three_point_rate_expected_diff,three_point_rate,-1.7803829496918868e-05,0.0004778090543335014,-0.0008282753541922234,0.0009793795415777972,0.45,0.3333333333333333,60
free_throw_rate_net_weakness_vs_strength,free_throw_rate,-2.028865272666417e-05,0.00011787990053668754,-0.00021981058597213553,0.0002102268180455502,0.425,0.3333333333333333,61
interior_edge,engineered_composites,-2.6214606799501715e-05,0.00029693296927835026,-0.0005802659720978625,0.0005417306969134029,0.43333333333333335,0.3333333333333333,62
free_throw_pct_net_matchup_edge,free_throw_pct,-2.7254036349726638e-05,0.0003030166493532481,-0.0006268137120179123,0.000527128472326116,0.4666666666666667,0.5,63
four_factor_positive_edge_count,engineered_composites,-3.861962520673353e-05,0.001501216253371392,-0.002547462048730506,0.002749152536813695,0.48333333333333334,0.5,64
steal_raw_matchup_edge,steal,-4.0078259990626126e-05,0.0032602550925767532,-0.0064109334252398596,0.005267448798748129,0.5333333333333333,0.6666666666666666,65
block_net_matchup_edge,block,-4.15717056147541e-05,0.000299778492006673,-0.0006299645043975399,0.0004475352050165915,0.525,0.3333333333333333,66
block_net_strength_vs_weakness,block,-4.69121353981176e-05,0.0005921847336429509,-0.0012058261281227057,0.0011212928876715464,0.48333333333333334,0.3333333333333333,67
two_point_net_strength_vs_weakness,two_point,-4.903097994252333e-05,0.00030686001060068607,-0.0007851967656246795,0.00046737012171843827,0.49166666666666664,0.5,68
assist_raw_matchup_edge,assist,-7.347771325339295e-05,0.0028873908450660125,-0.004870705863701294,0.0052841734836658535,0.525,0.5,69
offensive_rebound_net_matchup_edge,offensive_rebound,-8.431125434011459e-05,0.004445496021973544,-0.009006108408346125,0.0072662936108881665,0.5583333333333333,0.6666666666666666,70
assist_net_matchup_edge,assist,-9.781269658061531e-05,0.000398290205408068,-0.0008995714753493228,0.0006615381043018838,0.43333333333333335,0.3333333333333333,71
